id,frag1,frag2,new_smiles
157,*CCCC(=O)O,*c1nc2c(F)cccc2c(O)[n+]1-c1ccc(Oc2ccc(F)cc2)cc1,O=C(O)CCCc1nc2c(F)cccc2c(O)[n+]1-c1ccc(Oc2ccc(F)cc2)cc1
158,*c1cccc(C)c1C,*N[C@H](C(=O)NC)C(C)C,CNC(=O)[C@@H](Nc1cccc(C)c1C)C(C)C
159,*c1ccccn1,*C(=O)CCCCCC,CCCCCCC(=O)c1ccccn1
160,*C(C)c1noc(=O)[nH]1,*CCCCC(=O)OC[C@@H](O)CO,CC(CCCCC(=O)OC[C@@H](O)CO)c1noc(=O)[nH]1
161,*CCC=CCCCC(=O)OC[C@@H](O)CO,*CCOCCOCCOCCOCCO,O=C(CCCC=CCCCCOCCOCCOCCOCCO)OC[C@@H](O)CO
162,*NCCC(=O)NCCSC(=O)CCCCCCCC,*CCCN1CCC[C@@H](C(=O)[O-])C1,CCCCCCCCC(=O)SCCNC(=O)CCNCCCN1CCC[C@@H](C(=O)[O-])C1
163,*Oc1cccc(-c2ccc([C@H](C)C(=O)[O-])cc2F)c1,*CC(F)(F)COc1ccccc1,C[C@H](C(=O)[O-])c1ccc(-c2cccc(OCC(F)(F)COc3ccccc3)c2)c(F)c1
164,*C(=O)C=Cc1ccc(Cl)cc1,*n1ccnc1,O=C(C=Cc1ccc(Cl)cc1)n1ccnc1
165,*C(=O)CCCCC,*NCCC(=O)NCCSC(=O)CCCCCCCC,CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)CCCCC
166,*c1ccccc1CC(=O)O,*n1ccc2c(OC(C)(C)C(=O)O)cccc21,CC(C)(Oc1cccc2c1ccn2-c1ccccc1CC(=O)O)C(=O)O
167,*CCC=CCC=CCCCCC,*N1CCC[C@@H](C(=O)[O-])C1,CCCCCC=CCC=CCCN1CCC[C@@H](C(=O)[O-])C1
168,*Nc1cccc2ccccc12,*O,ONc1cccc2ccccc12
169,*CCCCCC(=O)NCc1ccc(O)c(OC)c1,*Nc1cccc(OC)c1,COc1cccc(NCCCCCC(=O)NCc2ccc(O)c(OC)c2)c1
170,*c1cccc(C)c1C,*C[C@@H](O)[C@@H](N)COP(=O)(O)O,Cc1cccc(C[C@@H](O)[C@@H](N)COP(=O)(O)O)c1C
171,*c1ccccc1-c1noc(=O)[nH]1,*C(=O)C=Cc1ccc(Cl)cc1,O=C(C=Cc1ccc(Cl)cc1)c1ccccc1-c1noc(=O)[nH]1
172,*c1c(Cl)cccc1Cl,*NCCCCCC,CCCCCCNc1c(Cl)cccc1Cl
173,*C(=O)c1ccc(Br)s1,*N1CCN(C(C)=O)CC1,CC(=O)N1CCN(C(=O)c2ccc(Br)s2)CC1
174,*C(c1sccc1C)c1sccc1C,*NC,CNC(c1sccc1C)c1sccc1C
175,*Cc1ccccc1,*C(=O)Cc1ccc(O)c(OC)c1,COc1cc(CC(=O)Cc2ccccc2)ccc1O
176,*CCOCCOCCO,*C[C@H]1CO[C@](Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1,OCCOCCOCCC[C@H]1CO[C@](Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1
177,*CCC=CCCCCCCC(=O)O,*OC[C@@H](O)CO,O=C(O)CCCCCCC=CCCOC[C@@H](O)CO
178,*C(=O)C1=Cc2cc(Cl)cc(Cl)c2O[C@@H]1C(F)(F)F,*C[C@@H](O)CO,O=C(C[C@@H](O)CO)C1=Cc2cc(Cl)cc(Cl)c2O[C@@H]1C(F)(F)F
179,*Nc1cccc2ccccc12,*CCC=CCCC(=O)O,O=C(O)CCC=CCCNc1cccc2ccccc12
180,*CCCCCCCC(=O)O,*CCCCCC,CCCCCCCCCCCCCC(=O)O
181,*N1CC(C(=O)[O-])C1,*S(=O)(=O)c1ccc(Cl)cc1Cl,O=C([O-])C1CN(S(=O)(=O)c2ccc(Cl)cc2Cl)C1
182,*N[C@H]1CCC[C@@H](n2c(-c3ccccn3)nc3cc(C(=O)NC)ccc32)C1,*CC#CC(C)(C)C,CNC(=O)c1ccc2c(c1)nc(-c1ccccn1)n2[C@@H]1CCC[C@H](NCC#CC(C)(C)C)C1
183,*n1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21,*CCC=CCC=CCCCCCCC(=O)O,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CCC=CCC=CCCCCCCC(=O)O)c2cc1C
184,*[C@H]1O[C@H](CO)C[C@H](O)[C@H]1O,*n1c(CCC)nc2c(C)cccc21,CCCc1nc2c(C)cccc2n1[C@H]1O[C@H](CO)C[C@H](O)[C@H]1O
185,*Nc1ccc(Cl)cc1,*C(=O)Oc1cccc(-c2ccc([C@H](C)C(=O)[O-])cc2F)c1,C[C@H](C(=O)[O-])c1ccc(-c2cccc(OC(=O)Nc3ccc(Cl)cc3)c2)c(F)c1
186,*C(=O)c1ccccc1Nc1cccc(C)c1C,*CCCCC(=O)O,Cc1cccc(Nc2ccccc2C(=O)CCCCC(=O)O)c1C
187,*c1ccccc1CC(=O)O,*n1cnc2c(N)ncnc21,Nc1ncnc2c1ncn2-c1ccccc1CC(=O)O
188,*c1noc(=O)[nH]1,*C(=O)CCCCC=CC(C)C,CC(C)C=CCCCCC(=O)c1noc(=O)[nH]1
189,*CCCN1CCCc2c(OC(C)(C)C(=O)O)cccc21,*C(=O)CCC,CCCC(=O)CCCN1CCCc2c(OC(C)(C)C(=O)O)cccc21
190,*CCCCCC(=O)NCc1ccc(O)c(OC)c1,*C[C@@H]1[C@@H](CC=CCCCC(=O)[O-])[C@@H](O)C[C@H]1O,COc1cc(CNC(=O)CCCCCC[C@@H]2[C@@H](CC=CCCCC(=O)[O-])[C@@H](O)C[C@H]2O)ccc1O
191,*CCOCCOCCOCCOCCOCCOCC,*CCOCC,CCOCCCCOCCOCCOCCOCCOCCOCC
192,*CCOCCOCCOCCOCCOCC,*N[C@H](C(=O)NC)C(C)C,CCOCCOCCOCCOCCOCCN[C@H](C(=O)NC)C(C)C
193,*CCOCCOCCOCCOCC,*c1ccc(C(=O)N[C@H](C(=O)NC)C2CCCCC2)o1,CCOCCOCCOCCOCCc1ccc(C(=O)N[C@H](C(=O)NC)C2CCCCC2)o1
194,*CCC=CCC=CCC,*[C@H]1C[C@@](C)(OC)[C@@H](O)[C@H](C)O1,CCC=CCC=CCC[C@H]1C[C@@](C)(OC)[C@@H](O)[C@H](C)O1
195,*N1CCN(C(C)=O)CC1,*c1ccccn1,CC(=O)N1CCN(c2ccccn2)CC1
196,*CCCCC(=O)O,*CCC=CCC=CCC=CCCC(=O)O,O=C(O)CCC=CCC=CCC=CCCCCCCC(=O)O
197,*CCOCCOCC,*CCCN1CCC[C@@H](C(=O)[O-])C1,CCOCCOCCCCCN1CCC[C@@H](C(=O)[O-])C1
198,*c1ccc(-[n+]2c(N3CCN(C)CC3)nc3c(F)cccc3c2O)cc1,*Nc1cccc(OC)c1,COc1cccc(Nc2ccc(-[n+]3c(N4CCN(C)CC4)nc4c(F)cccc4c3O)cc2)c1
199,*c1cccc(-c2ccc([C@H](C)C(=O)[O-])cc2F)c1,*c1c(F)cccc1Cl,C[C@H](C(=O)[O-])c1ccc(-c2cccc(-c3c(F)cccc3Cl)c2)c(F)c1
200,*C(C)=O,*NCCCCCC,CCCCCCNC(C)=O
201,*CCC=CCC=CCCCCCCC(=O)O,*c1ccc(C(=O)N[C@H](C(=O)NC)C(C)C)o1,CNC(=O)[C@@H](NC(=O)c1ccc(CCC=CCC=CCCCCCCC(=O)O)o1)C(C)C
