id,frag1,frag2,new_smiles
3450,*c1cccc(C(N)=NO)c1,*N1CCC(NC(=O)CN)CC1,NCC(=O)NC1CCN(c2cccc(C(N)=NO)c2)CC1
3451,*c1nnc(C)c2cnc(N3CCOCC3)cc12,*N1CCOCC1,Cc1nnc(N2CCOCC2)c2cc(N3CCOCC3)ncc12
3452,*n1ncc2c(=O)[nH]c(N[C@H](C)C(=O)N3CC[C@H](F)C3)nc21,*c1cc(OC)c(OC)c(OC)c1,COc1cc(-n2ncc3c(=O)[nH]c(N[C@H](C)C(=O)N4CC[C@H](F)C4)nc32)cc(OC)c1OC
3453,*c1ccc(N2CCOCC2)cc1,*Cc1ccccc1,c1ccc(Cc2ccc(N3CCOCC3)cc2)cc1
3454,*C(=O)CO,*c1cccc(C(=O)Nc2cc(N3CC[C@H](C(C)(C)O)C3)cnc2C(F)(F)F)n1,CC(C)(O)[C@H]1CCN(c2cnc(C(F)(F)F)c(NC(=O)c3cccc(C(=O)CO)n3)c2)C1
3455,*S(=O)(=O)c1ccc(F)cc1C,*c1cncc(-c2cc(OC)c(OC)c(OC)c2)c1,COc1cc(-c2cncc(S(=O)(=O)c3ccc(F)cc3C)c2)cc(OC)c1OC
3456,*c1nc(C)nc2cc(OC)c(O[C@H]3CCOC3)cc12,*c1ccc(F)cc1,COc1cc2nc(C)nc(-c3ccc(F)cc3)c2cc1O[C@H]1CCOC1
3457,*CC(=O)O,*S(=O)(=O)c1ccc(OC)cc1,COc1ccc(S(=O)(=O)CC(=O)O)cc1
3458,*CC(=O)O,*c1nc2ccc(Cl)cc2n1Cc1cc(C)c(F)c(C)c1,Cc1cc(Cn2c(CC(=O)O)nc3ccc(Cl)cc32)cc(C)c1F
3459,*C(=O)c1cccnc1,*c1cccnc1,O=C(c1cccnc1)c1cccnc1
3460,*Nc1cc(N2CC[C@H](C(C)(C)O)C2)cnc1C(F)(F)F,*c1cc(-c2cccc(O)c2)cnc1N,CC(C)(O)[C@H]1CCN(c2cnc(C(F)(F)F)c(Nc3cc(-c4cccc(O)c4)cnc3N)c2)C1
3461,*c1nc(C)nc2ccccc12,*Nc1ccc(C)cc1,Cc1ccc(Nc2nc(C)nc3ccccc23)cc1
3462,*N1CC2(CNC2)C1,*c1cnc(C(F)(F)F)c(NC(=O)c2cccc(-c3cnn(C)c3)n2)c1,Cn1cc(-c2cccc(C(=O)Nc3cc(N4CC5(CNC5)C4)cnc3C(F)(F)F)n2)cn1
3463,*n1c(CCCC(=O)[O-])cc2cc(Cl)ccc21,*Nc1ccc(Nc2ncnc3ccccc23)cc1,O=C([O-])CCCc1cc2cc(Cl)ccc2n1Nc1ccc(Nc2ncnc3ccccc23)cc1
3464,*c1c[nH]nc1-c1cccnc1,*c1ccc2ncccc2c1,c1cncc(-c2n[nH]cc2-c2ccc3ncccc3c2)c1
3465,*Cc1ccc(F)c(Cl)c1,*Cc1ccc(O)cc1,Oc1ccc(CCc2ccc(F)c(Cl)c2)cc1
3466,*c1cncnc1,*c1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(-c3cncnc3)nc21
3467,*c1ncnc2cc(OC)c(OC)cc12,*C(F)(F)F,COc1cc2ncnc(C(F)(F)F)c2cc1OC
3468,*[C@H](C)c1cccc(-c2cn[nH]c2)c1,*N1CC[C@H](F)C1,C[C@H](c1cccc(-c2cn[nH]c2)c1)N1CC[C@H](F)C1
3469,*C(=O)[C@H](C)Nc1nc2c(cnn2-c2ccccc2C)c(=O)[nH]1,*N1CCC[C@H]1C(=O)O,Cc1ccccc1-n1ncc2c(=O)[nH]c(N[C@@H](C)C(=O)N3CCC[C@H]3C(=O)O)nc21
3470,*N1CC(c2ncccn2)C1,*C1=NCC(C)(C)S1,CC1(C)CN=C(N2CC(c3ncccn3)C2)S1
3471,*C(=O)c1cc2c(F)ccc(C)c2[nH]1,*N[C@@H]1CCC[C@H](N2CC[C@H](N(C)S(C)(=O)=O)C2)C1,Cc1ccc(F)c2cc(C(=O)N[C@@H]3CCC[C@H](N4CC[C@H](N(C)S(C)(=O)=O)C4)C3)[nH]c12
3472,*c1cn[nH]c1,*c1cccc(C(C)=O)c1,CC(=O)c1cccc(-c2cn[nH]c2)c1
3473,*CC(=O)NCC(F)(F)F,*C(=O)c1cnc2n[nH]cc2c1,O=C(CC(=O)c1cnc2n[nH]cc2c1)NCC(F)(F)F
3474,*C(F)(F)F,*N1C[C@H](CO)[C@@H](O)C1,OC[C@H]1CN(C(F)(F)F)C[C@@H]1O
3475,*c1ccccc1C,*c1nccc(-c2c(-c3cccnc3)nn3c2COCC3)n1,Cc1ccccc1-c1nccc(-c2c(-c3cccnc3)nn3c2COCC3)n1
3476,*N1CCOCC1,*C(=O)c1ccc2c(c1)C[C@H](Nc1cncnc1)C2,O=C(c1ccc2c(c1)C[C@H](Nc1cncnc1)C2)N1CCOCC1
3477,*CCCC,*Nc1cnn(Cc2cccc(C#N)c2)c1,CCCCNc1cnn(Cc2cccc(C#N)c2)c1
3478,*N1N=CC[C@H]1c1cc(F)cc(F)c1,*c1ccc2ncccc2c1,Fc1cc(F)cc([C@@H]2CC=NN2c2ccc3ncccc3c2)c1
3479,*C(=O)c1ccc2c(c1)C[C@H](Nc1cncnc1)C2,*c1cccnc1,O=C(c1cccnc1)c1ccc2c(c1)C[C@H](Nc1cncnc1)C2
3480,*n1c(N2CCNCC2)nc2c(C3CCNCC3)cc(Cl)cc21,*n1c(N)nc2ccccc21,Nc1nc2ccccc2n1-n1c(N2CCNCC2)nc2c(C3CCNCC3)cc(Cl)cc21
3481,*c1cncc(-c2ccc(N3CCNCC3)cc2)c1,*C(C)=O,CC(=O)c1cncc(-c2ccc(N3CCNCC3)cc2)c1
3482,*[C@H](C)c1ccccc1,*C(=O)[C@@H](N)Cc1c[nH]c2cc(C)ccc12,Cc1ccc2c(C[C@H](N)C(=O)[C@H](C)c3ccccc3)c[nH]c2c1
3483,*c1c2c(nc3cc(Cl)ccc13)CCCC2,*CO,OCc1c2c(nc3cc(Cl)ccc13)CCCC2
3484,*c1ncnc2cc(OC)c(OC)cc12,*C1=NCC(C)(C)S1,COc1cc2ncnc(C3=NCC(C)(C)S3)c2cc1OC
3485,*[C@H](C)c1ccccc1,*C(=O)C(C)C,CC(C)C(=O)[C@H](C)c1ccccc1
3486,*C[C@H](O)[C@@H](C)CCC(=O)O,*[C@H](C)c1cc(-c2ccccc2CNC)cs1,CNCc1ccccc1-c1csc([C@@H](C)C[C@H](O)[C@@H](C)CCC(=O)O)c1
3487,*NCCC,*C(=O)C(C)(C)C,CCCNC(=O)C(C)(C)C
