id,frag1,frag2,new_smiles
2460,*C1CC(F)(F)C1,*[C@H](C)c1cccc(C(F)(F)F)c1,C[C@H](c1cccc(C(F)(F)F)c1)C1CC(F)(F)C1
2461,*N1CCN(c2ncnc3sc(CCF)cc23)CC1,*c1cc(-c2nnc(C)o2)ccc1C,Cc1nnc(-c2ccc(C)c(N3CCN(c4ncnc5sc(CCF)cc45)CC3)c2)o1
2462,*C1CC(F)(F)C1,*Cc1cccc(C#N)c1,N#Cc1cccc(CC2CC(F)(F)C2)c1
2463,*N1CCN(C(=O)OCC)CC1,*N1CC(Oc2ccccc2)C1,CCOC(=O)N1CCN(N2CC(Oc3ccccc3)C2)CC1
2464,*Cc1ccccc1,*Nc1cc(C(F)(F)F)ccc1F,Fc1ccc(C(F)(F)F)cc1NCc1ccccc1
2465,*n1ccc2c(=O)n(C)ccc21,*n1ncc2c(=O)[nH]c([C@@H]3CN(Cc4ncccn4)C[C@H]3C)nc21,C[C@@H]1CN(Cc2ncccn2)C[C@H]1c1nc2c(cnn2-n2ccc3c(=O)n(C)ccc32)c(=O)[nH]1
2466,*c1c[nH]c2ncnc(N3CCOCC3)c12,*C(=O)C=Cc1ccccc1,O=C(C=Cc1ccccc1)c1c[nH]c2ncnc(N3CCOCC3)c12
2467,*c1cc(-c2nnc(C)o2)ccc1C,*[C@H]1[C@H](O)[C@@H]2O[C@H]1c1ccccc12,Cc1nnc(-c2ccc(C)c([C@H]3[C@H](O)[C@@H]4O[C@H]3c3ccccc34)c2)o1
2468,*n1cnc2ccccc21,*CO,OCn1cnc2ccccc21
2469,*O,*Nc1cccc(C(F)(F)F)c1,ONc1cccc(C(F)(F)F)c1
2470,*C(=O)CCC(=O)O,*N1CCOCC1,O=C(O)CCC(=O)N1CCOCC1
2471,*c1ccnc(Cl)c1C#N,*N1C[C@H](CO)[C@@H](O)C1,N#Cc1c(N2C[C@H](CO)[C@@H](O)C2)ccnc1Cl
2472,*NCCc1cccc(Oc2cnc(N)nc2)c1,*c1cc(NC(=O)c2cccnc2)ccc1C,Cc1ccc(NC(=O)c2cccnc2)cc1NCCc1cccc(Oc2cnc(N)nc2)c1
2473,*c1ccc(C)cc1C(=O)O,*CCNC(=O)C(C#N)=Cc1ccc2c[nH]nc2c1,Cc1ccc(CCNC(=O)C(C#N)=Cc2ccc3c[nH]nc3c2)c(C(=O)O)c1
2474,*c1cncnc1,*c1c2c([nH]c(=O)c1C#N)[C@@H](CCC)CN(CC(=O)N1CCc3ccccc31)C2,CCC[C@H]1CN(CC(=O)N2CCc3ccccc32)Cc2c1[nH]c(=O)c(C#N)c2-c1cncnc1
2475,*c1nc(N2C[C@@H](C)O[C@@H](C)C2)ncc1Cl,*C1CCOCC1,C[C@@H]1CN(c2ncc(Cl)c(C3CCOCC3)n2)C[C@H](C)O1
2476,*c1c[nH]c2ncnc(N3CCOCC3)c12,*N1CC[C@@H](N(C)C)C1,CN(C)[C@@H]1CCN(c2c[nH]c3ncnc(N4CCOCC4)c23)C1
2477,*C(=O)Cn1ccc2c(=O)n(C)ccc21,*c1ccc(C(F)(F)F)cc1[N+](=O)[O-],Cn1ccc2c(ccn2CC(=O)c2ccc(C(F)(F)F)cc2[N+](=O)[O-])c1=O
