id,frag1,frag2,new_smiles
55,*C(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,*N1CC(C(=O)[O-])C1,C[C@H](CCC(=O)N1CC(C(=O)[O-])C1)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
56,*C(=O)Cc1ccc(F)cc1,*Cc1c(F)cccc1C#N,N#Cc1cccc(F)c1CC(=O)Cc1ccc(F)cc1
57,*n1cnc2ccc(C#N)cc21,*Cc1ccnc(F)c1,N#Cc1ccc2ncn(Cc3ccnc(F)c3)c2c1
58,*C1N=C(C=C2NC(=O)C(C)=C2C=C)C(C)=C1CCC(=O)O,*CC(=O)[O-],C=CC1=C(C)C(=O)NC1=CC1=NC(CC(=O)[O-])C(CCC(=O)O)=C1C
59,*N1CCC(CCNS(C)(=O)=O)CC1,*c1ccc(OCCSC#N)cc1,CS(=O)(=O)NCCC1CCN(c2ccc(OCCSC#N)cc2)CC1
60,*[C@@H]1CCC[C@@H]1NC(=O)[C@H](C#N)CC(C)(C)C,*OC[C@H](CO)OC(=O)CCCCCCCCC,CCCCCCCCCC(=O)O[C@@H](CO)CO[C@@H]1CCC[C@@H]1NC(=O)[C@H](C#N)CC(C)(C)C
61,*CC=C(C)CCC=C(C)C,*c1ccc2nonc2c1[N+](=O)[O-],CC(C)=CCCC(C)=CCc1ccc2nonc2c1[N+](=O)[O-]
62,*c1ccccc1C(=O)O,*c1c(Cl)cccc1Cl,O=C(O)c1ccccc1-c1c(Cl)cccc1Cl
63,*Cc1cccnc1C#N,*c1nc(OC)nc(N2CCNCC2)n1,COc1nc(Cc2cccnc2C#N)nc(N2CCNCC2)n1
64,*C(=O)NC(C)C,*NC[C@H](C[C@H]1CCCOC1)NC,CN[C@H](CNC(=O)NC(C)C)C[C@H]1CCCOC1
65,*c1ccc2c(c1)OCO2,*CCCCC(=O)O,O=C(O)CCCCc1ccc2c(c1)OCO2
66,*c1nc[nH]n1,*N1CCN(Cc2ccnc(Nc3nc4cc(C(=O)NCC5C=C5)ccc4[nH]3)c2)CC1,O=C(NCC1C=C1)c1ccc2[nH]c(Nc3cc(CN4CCN(c5nc[nH]n5)CC4)ccn3)nc2c1
67,*N1CCN(C(C)=O)CC1,*CCC=CCC=CCCCC(=O)OC[C@@H](O)CO,CC(=O)N1CCN(CCC=CCC=CCCCC(=O)OC[C@@H](O)CO)CC1
68,*c1nc2ccccc2o1,*N[C@H](C=O)CCSC,CSCC[C@@H](C=O)Nc1nc2ccccc2o1
69,*c1cc(Nc2ccc(OC(F)(F)F)cc2)ncn1,*C(=O)CC,CCC(=O)c1cc(Nc2ccc(OC(F)(F)F)cc2)ncn1
70,*C(=O)CCCCCC(=O)[O-],*N[C@H](CNC)C[C@H]1CCCOC1,CNC[C@H](C[C@H]1CCCOC1)NC(=O)CCCCCC(=O)[O-]
